"VOut3","xVOut3","VOut6","xVOut6","VOut7","xVOut7","VOut8","xVOut8","VOut9","xVOut9"
"4.95552396774292","310.0000030826777","5.375877380371094","310.0000030826777","5.619936466217041","310.0000030826777","5.064452648162842","310.0000030826777","4.980607986450195","310.0000030826777"
"4.955522060394287","310.00011949799955","5.375875949859619","310.00006129033864","5.619934558868408","310.00011949799955","5.064451694488525","310.00006129033864","4.9806060791015625","310.00011949799955"
"4.955520153045654","310.00026501715183","5.37587308883667","310.00026501715183","5.619932651519775","310.00026501715183","5.064448833465576","310.00026501715183","4.98060417175293","310.00026501715183"
"4.9555158615112305","310.00052695162594","5.375537872314453","310.02116156741977","5.619548797607422","310.02372270449996","5.064398765563965","310.00355374999344","4.980554580688477","310.00355374999344"
"4.955162048339844","310.0235480815172","5.375528335571289","310.02177274785936","5.619547367095947","310.02381001599133","5.064083576202393","310.0236353930086","4.980242729187012","310.0236353930086"
"4.955159664154053","310.02372270449996","5.375496864318848","310.0236353930086","5.619545936584473","310.02398463897407","5.064082145690918","310.02372270449996","4.980241298675537","310.0237809121609"
"4.955158710479736","310.0237809121609","5.375494956970215","310.0238391198218","5.619544506072998","310.02439209260046","5.064080238342285","310.0244211964309","4.9802398681640625","310.02433388493955"
"4.9551568031311035","310.02398463897407","5.37549352645874","310.02433388493955","5.619542121887207","310.02535251900554","5.0640788078308105","310.02520699985325","4.980238914489746","310.02494506537914"
"4.955155372619629","310.02488685771823","5.375492572784424","310.0249159615487","5.619533061981201","310.029397951439","5.0640716552734375","310.0303583778441","4.980236530303955","310.0270696450025"
"4.9551544189453125","310.025381622836","5.375483512878418","310.0296016782522","5.619531154632568","310.030416585505","5.064069747924805","310.03172625787556","4.980233669281006","310.02910691313446"
"4.9551496505737305","310.0294270552695","5.375478744506836","310.0321628153324","5.61952543258667","310.03315234556794","5.064066410064697","310.0344620179385","4.980231285095215","310.031435219571"
"4.955146789550781","310.03248295746744","5.375463008880615","310.0438043475151","5.619511604309082","310.041185002774","5.064057350158691","310.0464236922562","4.980225086212158","310.038827592507"
"4.955144882202148","310.03454932942986","5.3754563331604","310.05105120129883","5.619503974914551","310.0465692114085","5.064072132110596","310.0790490861982","4.980222225189209","310.0440662819892"
"4.955142974853516","310.03731419332325","5.375452041625977","310.06112112663686","5.619495868682861","310.0540488958359","5.064110279083252","310.099363559857","4.980224132537842","310.061383061111"
"4.955141067504883","310.04121410660446","5.375454902648926","310.07613870315254","5.6194891929626465","310.0647300016135","5.0641632080078125","310.1175825577229","4.980238914489746","310.07634242996573"
"4.95513916015625","310.04659831523895","5.375478744506836","310.09691883809865","5.619508266448975","310.0999165326357","5.064204216003418","310.12858380563557","4.980279922485352","310.09712256491184"
"4.955145835876465","310.0647882092744","5.37552547454834","310.1178735960275","5.619541645050049","310.1176116615534","5.064338207244873","310.15678541734815","4.980344772338867","310.1181355305016"
"4.955164432525635","310.079543851316","5.375557899475098","310.1283509749919","5.619570255279541","310.128612909466","5.064429759979248","310.1722395513207","4.980434894561768","310.13935222290456"
"4.955209732055664","310.1000329479575","5.375626564025879","310.1465117651969","5.619630813598633","310.1466572843492","5.064581394195557","310.1940965279937","4.980623245239258","310.1722104474902"
"4.955267906188965","310.11790269985795","5.375672817230225","310.1566981058568","5.619671821594238","310.1568145211786","5.064853668212891","310.2265181951225","4.980781078338623","310.1941547356546"
"4.955318450927734","310.1302427239716","5.375752925872803","310.1720940321684","5.619744300842285","310.17226865515113","5.0655670166015625","310.2913324255496","4.9810638427734375","310.2266928181052"
"4.955454349517822","310.15672720968723","5.375886917114258","310.19386369735","5.61986780166626","310.19412563182414","5.066514015197754","310.356670524925","4.981797218322754","310.29150704853237"
"4.9555511474609375","310.17212313599885","5.376132011413574","310.2262271568179","5.620095252990723","310.22654729895294","5.0670294761657715","310.3868803009391","4.98318338394165","310.3809431195259"
"4.955709934234619","310.19392190501094","5.376784324645996","310.2908958680928","5.620709419250488","310.2913615293801","5.067032337188721","310.38702582009137","4.983185291290283","310.3810304310173"
"4.95599365234375","310.22625626064837","5.3780035972595215","310.3778581134975","5.622103214263916","310.39331224747","5.067034721374512","310.38717133924365","4.983191967010498","310.3814087808132"
"4.95673131942749","310.2909540757537","5.378515720367432","310.40789326652884","5.622616767883301","310.4235220234841","5.067434310913086","310.4094066657126","4.98319673538208","310.3816998191178"
"4.9575910568237305","310.3492490481585","5.37852144241333","310.40821340866387","5.622619152069092","310.4236675426364","5.067446231842041","310.41118199937046","4.983592510223389","310.40364410728216"
"4.958105564117432","310.3792842011899","5.378523826599121","310.4083880316466","5.623019218444824","310.4460774920881","5.067455291748047","310.41287002153695","4.983604431152344","310.40541944094"
"4.958107948303223","310.3794006165117","5.378529071807861","310.4086499661207","5.623030662536621","310.44785282574594","5.067466735839844","310.4153729509562","4.983624458312988","310.40937756188214"
"4.958109378814697","310.3794879280031","5.378922462463379","310.4305942542851","5.623049259185791","310.45181094668806","5.067504405975342","310.42404589243233","4.983663558959961","310.4182833340019"
"4.958111763000488","310.3796043433249","5.378933906555176","310.43236958794296","5.623084545135498","310.4603383690119","5.067506790161133","310.42456976138055","4.983665943145752","310.4188072029501"
"4.9581146240234375","310.37977896630764","5.378942966461182","310.43405761010945","5.623088359832764","310.4612696915865","5.067509174346924","310.42518094182014","4.983668327331543","310.4194183833897"
"4.958517074584961","310.4020142927766","5.378983974456787","310.44354545883834","5.6230902671813965","310.46185176819563","5.067607402801514","310.4519273620099","4.983671188354492","310.42000045999885"
"4.958528995513916","310.40378962643445","5.378988265991211","310.4445349890739","5.623181343078613","310.48859818838537","5.067668437957764","310.47334778122604","4.983831882476807","310.4675852227956"
"4.958546161651611","310.40713656693697","5.378990173339844","310.4450006503612","5.623234748840332","310.510047711432","5.067727088928223","310.5031209997833","4.983893871307373","310.49735844135284"
"4.95858097076416","310.41496549732983","5.378993988037109","310.4459901805967","5.6232805252075195","310.5398209299892","5.067758560180664","310.5440700892359","4.983930587768555","310.53830753080547"
"4.958585739135742","310.41595502756536","5.379147529602051","310.494564473629","5.623289108276367","310.58077001944184","5.067707061767578","310.60093897394836","4.983887195587158","310.5951764155179"
"4.958587646484375","310.41642068885267","5.379199981689453","310.52433769218624","5.623197078704834","310.6376389041543","5.067448616027832","310.6807416770607","4.983643531799316","310.6749791186303"
"4.958590984344482","310.417206492275","5.3792195320129395","310.56528678163886","5.62286376953125","310.71744160726666","5.066679000854492","310.7975935563445","4.982901096343994","310.7918309979141"
"4.958593368530273","310.4178176727146","5.379146575927734","310.6221556663513","5.621946811676025","310.8343225903809","5.064979553222656","310.9500103164464","4.981168270111084","310.9500103164464"
"4.9585957527160645","310.4183997493237","5.378848075866699","310.7019583694637","5.62053918838501","310.9500103164464","5.064199447631836","311.00327032618225","4.980387210845947","311.0039106104523"
"4.958759307861328","310.4659845121205","5.377999305725098","310.81881024874747","5.620264530181885","310.9687240794301","5.063872337341309","311.0238758381456","4.980074882507324","311.0237594228238"
"4.958823204040527","310.4957577306777","5.376463890075684","310.9500103164464","5.620245456695557","310.9700046479702","5.063870906829834","311.023963149637","4.980072975158691","311.0238758381456"
